id,source,target,weight
148959,1413793885,800517089211469824,0.102062
148960,4677007640,471330976,0.066815
148961,2292314736,756830758132649984,0.102062
148962,23954327,812863092,0.237171
148963,1173756973,3081581745,0.25
148964,754230919633010688,784415888548265984,0.088388
148965,167034819,333235689,0.176777
148966,1327639712,771906755236401152,0.044194
148967,1658846071,4425296357,0.158114
148968,200090056,2863716447,0.051031
148969,1327639712,200090056,0.051031
148970,247304584,3326010927,0.125
148971,751034069824176128,803009555785482240,0.0625
148972,1338726187,741135072921845765,0.0533
148973,2955544497,757364653014016000,0.083333
148974,1014042056,3331551052,0.066815
148975,1148894288,134552828,0.125
148976,723251650174017536,946620907,0.079057
148977,1374528007,257134732,0.077152
148978,1011339350,3389604502,0.237171
148979,2777610968,792134143920386048,0.088388
148980,792134143920386048,802962751865884672,0.125
148981,185622716,21081053,0.25
148982,19669334,431089161,0.111804
148983,2788001111,419081441,0.144338
148984,185506203,449600949,0.074536
148985,2461112153,909562165,0.079057
148986,30632043,3376927462,0.102062
148987,3081581745,4677007640,0.176777
148988,352280876,353389910,0.102062
148989,9002382,904349491,0.125
148990,1263752238,2973660171,0.058926
148991,17927511,4865253027,0.055902
148992,4721574708,746236470684311552,0.072169
148993,115777637,4874528374,0.25
148994,2393275579,4319786381,0.144338
148995,118027407,521142615,0.176777
148996,2883583489,546239230,0.125
148997,17720161,88104782,0.176777
148998,250704226,4521330855,0.055902
148999,4899231777,724415478056124416,0.125
149000,2283464072,313775431,0.049029
149001,26071765,2856154741,0.144338
149002,108573123,95502178,0.176777
149003,4571814261,780646765829562369,0.147314
149004,3389604502,62211890,0.25
149005,3644832255,4834537559,0.167705
149007,117060803,353982259,0.144338
149008,167419922,723251650174017536,0.091287
149009,715135364600606720,801240798683664384,0.0625
149010,618055731,798875398431973376,0.069338
149011,271883403,325053871,0.176777
149012,28611453,514982892,0.144338
149013,241583780,2856154741,0.25
149014,1327639712,780252826299666432,0.088388
149015,4352293774,4831284916,0.072169
149016,2539037971,4319786381,0.083333
149017,15755071,17927511,0.088388
149018,28611453,3260163199,0.058926
149019,433360123,745319037677211652,0.176777
