id,source,target,weight
401480,1413793885,800517089211469824,0.408248
401481,4677007640,471330976,0.267261
401482,2292314736,756830758132649984,0.408248
401483,23954327,812863092,0.948683
401484,1173756973,3081581745,1
401485,754230919633010688,784415888548265984,0.353553
401486,167034819,333235689,0.707107
401487,1327639712,771906755236401152,0.176777
401488,1658846071,4425296357,0.632456
401489,200090056,2863716447,0.204124
401490,1327639712,200090056,0.204124
401491,247304584,3326010927,0.5
401492,751034069824176128,803009555785482240,0.25
401493,1338726187,741135072921845765,0.213201
401494,2955544497,757364653014016000,0.333333
401495,1014042056,3331551052,0.267261
401496,1148894288,134552828,0.5
401497,723251650174017536,946620907,0.316228
401498,1374528007,257134732,0.308607
401499,1011339350,3389604502,0.948683
401500,2777610968,792134143920386048,0.353553
401501,792134143920386048,802962751865884672,0.5
401502,185622716,21081053,1
401503,19669334,431089161,0.447214
401504,2788001111,419081441,0.57735
401505,185506203,449600949,0.298142
401506,2461112153,909562165,0.316228
401507,30632043,3376927462,0.408248
401508,3081581745,4677007640,0.707107
401509,352280876,353389910,0.408248
401510,9002382,904349491,0.5
401511,1263752238,2973660171,0.235702
401512,17927511,4865253027,0.223607
401513,4721574708,746236470684311552,0.288675
401514,115777637,4874528374,1
401515,2393275579,4319786381,0.57735
401516,118027407,521142615,0.707107
401517,2883583489,546239230,0.5
401518,17720161,88104782,0.707107
401519,250704226,4521330855,0.223607
401520,4899231777,724415478056124416,0.5
401521,2283464072,313775431,0.196116
401522,26071765,2856154741,0.57735
401523,108573123,95502178,0.707107
401524,4571814261,780646765829562369,0.589256
401525,3389604502,62211890,1
401526,3644832255,4834537559,0.67082
401527,874859443,95220220,0.707107
401528,117060803,353982259,0.57735
401529,167419922,723251650174017536,0.365148
401530,715135364600606720,801240798683664384,0.25
401531,618055731,798875398431973376,0.27735
401532,271883403,325053871,0.707107
401533,28611453,514982892,0.57735
401534,241583780,2856154741,1
401535,1327639712,780252826299666432,0.353553
401536,4352293774,4831284916,0.288675
401537,2539037971,4319786381,0.333333
401538,15755071,17927511,0.353553
401539,28611453,3260163199,0.235702
401540,433360123,745319037677211652,0.707107
401541,735491152464470017,786985567,0.288675
401542,259383450,715681775717060608,0.5
401543,1471100606,2853872685,0.447214
401544,28838168,713063391900729344,0.25
401545,1263752238,24393879,0.288675
401546,19669334,2428776326,0.258199
401547,140566783,798272956401119237,0.707107
401548,2800236995,40625668,1
401549,15502903,2730391538,0.447214
401550,2892484043,36638704,0.353553
401551,26235861,3222937730,0.25
401552,25377285,791406684807827456,0.408248
401553,74265783,900259286,1
401554,1040408522,575925999,0.267261
401555,1471100606,95220220,0.707107
401556,27238516,441214858,0.5
401557,29049770,632873556,0.353553
401558,40278588,937019478,0.182574
401559,4097161,54077506,0.707107
401560,44959884,710599403,1
401561,11886822,775541978691997696,0.39736
401562,4269534859,632873556,0.223607
401563,17927511,4269534859,0.223607
401564,33178426,441214858,0.353553
401565,4269534859,803772858560352256,0.258199
401566,280243372,785317194695577605,0.507093
401567,459561926,874859443,0.707107
401568,2788398650,456874126,0.353553
401569,33178426,498840555,0.632456
401570,1265666203,2928019319,0.57735
401571,2902080735,4097161,0.408248
401572,445908382,90507896,0.408248
401573,4830951183,745319037677211652,0.707107
401574,2204132642,280243372,0.507093
401575,302226644,946620907,0.5
401576,22803981,83578612,0.408248
401577,103435491,771483365937676291,0.5
401578,250704226,4289485636,0.316228
401579,19845776,4250521660,0.5
401580,546239230,788748702483611648,0.353553
401581,1235761177,200090056,0.408248
401582,13957012,804740200870055936,1
401583,384005220,756830758132649984,0.866025
401584,1589798510,291846447,0.447214
