id,source,target,similarity
3695,134552828,746736462050267136,0.707107
3696,2463270592,2863716447,0.5
3697,2863716447,723261255570608128,0.866025
3698,1969420729,1977140114,1
3699,102397536,610955831,1
3700,1896595753,4831284916,0.5
3701,45838753,541328418,1
3702,1973545422,1977061699,1
3703,712976695,785317194695577605,0.5
3704,1032058076,1171556562,0.5
3705,1969634864,1977061699,1
3706,3331551052,904349491,1
3707,294825539,369611457,0.707107
3708,15755071,774686030406365184,0.816497
3709,720875149,78583942,1
3710,715681775717060608,738509183952113664,1
3711,1974125191,1975455086,1
3712,3305171909,88718119,1
3713,11886822,992148966,0.5
3714,48670786,67548991,1
3715,1265666203,328440716,1
3716,1974188150,3037298239,1
3717,108146158,61176427,1
3718,207046341,937019478,0.707107
3719,1973545422,618839438,1
3720,2496377724,627865229,0.707107
3721,287067120,773798108,1
3722,155223088,720875149,1
3723,1970627820,3037298239,1
3724,1978022473,3043507956,1
3725,18707435,930084780,1
3726,3413198241,75392146,0.333333
3727,1969368720,1969634864,1
3728,1040408522,1047497299,1
3729,874859443,95220220,0.353553
3730,2831617950,756830758132649984,1
3731,15755071,4861278086,0.942809
3732,2463270592,61176427,1
3733,3404728337,742826933075877889,0.408248
3734,145856687,713026548014694400,1
3735,1977910574,3052032968,1
3736,365819232,713026548014694400,1
3737,1975455086,3052032968,1
3738,1977828739,3037298239,1
3739,365819232,74265783,0.57735
3740,36783236,98764683,0.866025
3741,1974125191,3043507956,1
3742,31288110,445861289,0.408248
3743,75392146,755547494369660928,1
3744,122448174,4776169636,1
3745,4547154629,618839438,1
3746,325053871,741575693646102528,1
3747,352280876,904349491,1
3748,185506203,393654944,1
3749,15502903,618055731,0.917663
3750,1180622503,122448174,1
3751,2319339266,67548991,0.408248
3752,1171556562,4654741997,0.5
3753,242157832,78583942,1
3754,1171556562,313775431,0.353553
3755,3340908196,618055731,0.749269
3756,253677176,3389604502,1
3757,3413198241,98764683,0.333333
3758,4264113897,4776169636,1
3759,461803364,618587448,1
3760,242157832,245573252,1
3761,1969769202,1974868602,1
3762,2788001111,294825539,0.707107
3763,1160808384,766735508865032192,0.19245
3764,1970627820,3052032968,1
3765,1669932314,759146049760100352,1
3766,253677176,45608857,0.5
3767,303709614,309004477,1
3768,245385426,4419316115,1
3769,1977910574,4547154629,1
3770,4776169636,618055731,0.917663
3771,384005220,756830758132649984,0.57735
3772,155900566,2928019319,1
3773,1969769202,1974125191,1
3774,2928019319,746298368461275136,1
3775,618055731,937019478,0.917663
3776,222566126,786374824948105216,0.5
3777,1973545422,1975455086,1
3778,2607354599,93020729,1
3779,45608857,824450408,0.353553
3780,1973545422,1977140114,1
3781,145856687,757364653014016000,0.666667
3782,3380406579,4654741997,0.5
3783,237994971,461803364,1
