id,source,target,weight
51256,341568813,42624414,1
51257,1228600868,3377478999,1
51258,1471100606,766735508865032192,1
51259,153283018,27741488,0.57735
51260,3222937730,790071588729204736,1
51261,3081581745,842151288,1
51262,153283018,2824903451,0.57735
51263,2955544497,757364653014016000,0.5
51264,3377478999,704506110665990144,1
51265,16561729,790071588729204736,1
51266,1549759548,21091983,0.707107
51267,1148894288,134552828,1
51268,3710528536,790071588729204736,1
51269,102397536,2955544497,0.707107
51270,255988147,40227122,1
51271,3387188439,759146049760100352,0.707107
51272,221963057,2282325169,0.707107
51273,1104128448,30920319,1
51274,1228600868,265245636,1
51275,28611453,2955544497,0.707107
51276,317838653,3710528536,1
51277,67548991,992148966,1
51278,1964701855,44959884,1
51279,26686224,724706594,1
51280,2824903451,3093907031,1
51281,1215948218,1228600868,1
51282,107036446,3063952985,1
51283,3404728337,742826933075877889,0.94388
51284,18727629,2955544497,0.707107
51285,715135364600606720,797176328,1
51286,75392146,755547494369660928,1
51287,28838168,713063391900729344,1
51288,108986439,618055731,0.894427
51289,15755071,2327434344,1
51290,108573123,909562165,1
51291,245943898,36783236,1
51292,329954688,42624414,1
51293,3081581745,60526973,0.707107
51294,44959884,710599403,0.707107
51295,1324655137,759146049760100352,1
51296,3407135421,62211890,1
51297,120100776,60526973,0.707107
51298,27741488,787002854338854917,0.707107
51299,65632975,790071588729204736,0.707107
51300,31360081,790071588729204736,1
51301,102397536,302174491,0.894427
51302,1374528007,773798108,1
51303,31288110,384005220,0.57735
51304,241640955,44959884,1
51305,18018468,4619070748,1
51306,397467224,793937395066486784,0.707107
51307,253677176,766735508865032192,1
51308,2749640440,287067120,1
51309,1374528007,397467224,1
51310,156254256,4496549793,1
51311,18018468,736905000593575936,1
51312,21091983,927896378,0.707107
51313,218993498,461957191,1
51314,3718042757,93020729,1
51315,397467224,746736462050267136,1
51316,1886957647,365819232,1
51317,3222937730,56722688,1
51318,724706594,797176328,1
51319,28615971,3063952985,1
51320,1347471457,2863716447,0.707107
51321,42624414,736905000593575936,1
51322,1668265830,303076383,1
51323,1669932314,18018468,1
51324,2195634502,4861278086,1
51325,120100776,2824903451,1
51326,221963057,67548991,0.707107
51327,304517257,317838653,1
51328,221963057,304517257,0.707107
51329,3222937730,713063391900729344,1
51330,2573023238,787002854338854917,0.707107
51331,2824903451,780646765829562369,0.942809
51332,163001527,3403356761,1
51333,3346680387,62240352,1
51334,249885589,613796565,1
51335,3064931987,483415153,1
51336,3064931987,519553325,1
51337,2607354599,712976695,0.894427
51338,156254256,720309635853365249,1
51339,390208861,805905864,0.707107
51340,28615971,755547494369660928,1
51341,1104128448,167034819,1
51342,107036446,2749640440,1
51343,51073819,541328418,1
51344,163001527,1668265830,1
51345,1324655137,737760101193256961,1
51346,3385908647,713063391900729344,1
51347,695916265832062976,713026548014694400,1
51348,190878483,698558387408207872,1
51349,758491329894748160,805117810343079936,1
51350,34705680,723251650174017536,0.57735
51351,153283018,4721574708,0.57735
51352,2691309440,519553325,1
51353,3407135421,519553325,1
51354,1549759548,695916265832062976,1
51355,1886957647,30920319,1
51356,2859241221,762654585660051456,1
51357,2607354599,3404728337,0.904534
51358,303076383,774686030406365184,1
51359,333565814,4721574708,1
51360,713063391900729344,723251650174017536,0.57735
51361,3262844619,99019387,1
51362,28615971,56722688,1
51363,341568813,75392146,1
51364,2282325169,724706594,1
51365,3302596910,920798731,1
51366,720309635853365249,805905864,1
51367,167034819,40227122,1
51368,2863716447,98206010,1
51369,384005220,610955831,0.816497
51370,249885589,790071588729204736,1
51371,1057363958,108986439,1
51372,29049770,62240352,1
51373,1255475023,304517257,1
51374,723261255570608128,797176328,1
51375,15755071,30920319,1
51376,1324655137,805117810343079936,1
51377,1040408522,352280876,1
51378,1049978412,2316941846,1
51379,179912146,390208861,0.707107
51380,36783236,62211890,1
51381,461957191,715135364600606720,1
51382,1049978412,2831617950,0.707107
51383,107036446,3413198241,1
51384,190878483,4169033472,1
51385,742826933075877889,780646765829562369,0.843274
51386,1302283879,708458185494040576,0.707107
51387,3222937730,45838753,1
51388,1049978412,1324655137,1
51389,287067120,701846710381891584,1
51390,120100776,26071765,1
51391,16561729,445861289,1
51392,461957191,62240352,1
51393,1324655137,17731966,1
51394,2691309440,4721574708,1
51395,218993498,992148966,1
51396,287067120,93020729,1
51397,66212407,715135364600606720,1
51398,1964701855,742826933075877889,0.894427
51399,31288110,48670786,0.707107
51400,2607354599,610955831,1
51401,733803430007955456,797176328,1
51402,1215948218,2955544497,0.707107
51403,245943898,746280547,1
51404,2997250788,60526973,0.707107
51405,15755071,16561729,1
51406,329954688,44959884,1
51407,102397536,541328418,1
51408,3404728337,66212407,0.904534
51409,302174491,787002854338854917,0.632456
51410,34705680,479604138,1
51411,163001527,75392146,1
51412,3413198241,787002854338854917,0.707107
51413,3063952985,773798108,1
51414,241583780,384005220,0.816497
51415,194591543,397467224,1
51416,265245636,4562200215,1
51417,1471100606,18727629,1
51418,27741488,349632099,1
51419,1302283879,701164616093712387,0.707107
51420,333565814,8366982,1
51421,1964701855,736905000593575936,1
51422,2282325169,2463270592,1
51423,521754789,56722688,1
51424,2824903451,613796565,1
51425,156254256,4169033472,1
51426,27741488,2831617950,0.707107
51427,2955544497,790071588729204736,0.707107
51428,31360081,98206010,1
51429,1886957647,746298368461275136,1
51430,65632975,8366982,0.707107
51431,1668265830,720309635853365249,1
51432,120100776,746280547,1
51433,2831617950,365819232,0.707107
51434,2282325169,710599403,0.707107
51435,1374528007,3403356761,1
51436,1374528007,60526973,0.707107
51437,720309635853365249,992148966,1
51438,1057363958,1896595753,0.707107
51439,241583780,3413198241,1
51440,701164616093712387,797176328,1
51441,351231296,56722688,1
51442,25377285,610955831,1
