id,source,target,weight
106576,1413793885,800517089211469824,0.0625
106577,4677007640,471330976,0.03125
106578,2292314736,756830758132649984,0.0625
106579,23954327,812863092,0.0625
106580,1173756973,3081581745,0.25
106581,754230919633010688,784415888548265984,0.05
106582,167034819,333235689,0.125
106583,1327639712,771906755236401152,0.013158
106584,1658846071,4425296357,0.0625
106585,200090056,2863716447,0.025
106586,1327639712,200090056,0.025
106587,247304584,3326010927,0.083333
106588,751034069824176128,803009555785482240,0.022727
106589,1338726187,741135072921845765,0.020833
106590,2955544497,757364653014016000,0.05
106591,1014042056,3331551052,0.03125
106592,1148894288,134552828,0.0625
106593,723251650174017536,946620907,0.025
106594,1374528007,257134732,0.017857
106595,1011339350,3389604502,0.0625
106596,2777610968,792134143920386048,0.05
106597,792134143920386048,802962751865884672,0.0625
106598,185622716,21081053,0.25
106599,19669334,431089161,0.05
106600,2788001111,419081441,0.083333
106601,185506203,449600949,0.027778
106602,2461112153,909562165,0.041667
106603,30632043,3376927462,0.0625
106604,3081581745,4677007640,0.125
106605,352280876,353389910,0.0625
106606,9002382,904349491,0.083333
106607,1263752238,2973660171,0.03125
106608,17927511,4865253027,0.03125
106609,4721574708,746236470684311552,0.019231
106610,115777637,4874528374,0.25
106611,2393275579,4319786381,0.083333
106612,118027407,521142615,0.125
106613,2883583489,546239230,0.083333
106614,17720161,88104782,0.125
106615,250704226,4521330855,0.03125
106616,4899231777,724415478056124416,0.0625
106617,2283464072,313775431,0.00625
106618,26071765,2856154741,0.083333
106619,108573123,95502178,0.125
106620,4571814261,780646765829562369,0.016667
106621,3389604502,62211890,0.25
106622,3644832255,4834537559,0.05
106624,117060803,353982259,0.083333
106625,167419922,723251650174017536,0.045455
106626,715135364600606720,801240798683664384,0.027778
106627,618055731,798875398431973376,0.019231
106628,271883403,325053871,0.125
106629,28611453,514982892,0.083333
106630,241583780,2856154741,0.25
106631,1327639712,780252826299666432,0.03125
106632,4352293774,4831284916,0.041667
106633,2539037971,4319786381,0.05
106634,15755071,17927511,0.05
106635,28611453,3260163199,0.03125
106636,433360123,745319037677211652,0.083333
106637,735491152464470017,786985567,0.041667
106638,259383450,715681775717060608,0.083333
106639,1471100606,2853872685,0.041667
106640,28838168,713063391900729344,0.027778
106641,1263752238,24393879,0.041667
106642,19669334,2428776326,0.035714
106643,140566783,798272956401119237,0.125
106644,2800236995,40625668,0.25
106645,15502903,2730391538,0.05
106646,2892484043,36638704,0.05
106647,26235861,3222937730,0.027778
106648,25377285,791406684807827456,0.0625
106649,74265783,900259286,0.25
106650,1040408522,575925999,0.016667
106651,1471100606,95220220,0.083333
106652,27238516,441214858,0.0625
106653,29049770,632873556,0.05
106654,40278588,937019478,0.025
106655,4097161,54077506,0.125
106656,44959884,710599403,0.25
106657,11886822,775541978691997696,0.019231
106658,4269534859,632873556,0.03125
106659,17927511,4269534859,0.03125
106660,33178426,441214858,0.05
106661,4269534859,803772858560352256,0.017857
106662,280243372,785317194695577605,0.033333
106663,459561926,874859443,0.083333
106664,2788398650,456874126,0.05
106665,33178426,498840555,0.0625
106666,1265666203,2928019319,0.083333
106667,2902080735,4097161,0.0625
106668,445908382,90507896,0.0625
106669,4830951183,745319037677211652,0.125
106670,2204132642,280243372,0.033333
106671,302226644,946620907,0.0625
106672,22803981,83578612,0.041667
106673,103435491,771483365937676291,0.0625
106674,250704226,4289485636,0.041667
106675,19845776,4250521660,0.083333
106676,546239230,788748702483611648,0.05
106677,1235761177,200090056,0.0625
106678,13957012,804740200870055936,0.25
106680,1589798510,291846447,0.05
106681,16548855,802962751865884672,0.05
106682,152191413,788748702483611648,0.041667
106683,2848705919,78583942,0.041667
106684,737760101193256961,797794080180895744,0.083333
106685,221963057,257134732,0.017857
106687,1389790676,2712335673,0.03125
106688,451819108,747143836837814276,0.027778
106689,43748620,795594061084246016,0.03125
106690,3931306817,47080825,0.041667
106691,618055731,770309357875716096,0.020833
106692,2788001111,54077506,0.25
106693,4834537559,514982892,0.125
106694,4531076896,541328418,0.035714
106695,2992942526,780252826299666432,0.25
106696,735491152464470017,742664931217178624,0.0625
106686,618055731,937019478,0.139881
106697,16561729,775136513751326721,0.0625
106698,27238516,500843514,0.0625
106699,1338726187,527949804,0.020833
106700,40278588,61176427,0.041667
106701,2446943442,824450408,0.041667
106702,746236470684311552,937019478,0.015625
106703,207046341,351231296,0.125
106704,1338726187,95502178,0.125
106705,25377285,800495996828422144,0.03125
106706,179130402,795594061084246016,0.083333
106707,40227122,796211419700166657,0.027778
106708,738509183952113664,991855608,0.125
106709,29049770,32682040,0.083333
106710,1555034425,791406684807827456,0.027778
106711,728221452927827969,73699803,0.03125
106712,1535438408,3081581745,0.125
106713,115110145,4776169636,0.05
106714,270921976,500843514,0.041667
106715,1215948218,719939067136385024,0.25
106716,153283018,484198340,0.05
106717,65632975,798190900744568833,0.041667
106718,265245636,3055864294,0.041667
106719,33178426,786985567,0.0625
106720,119161370,2788001111,0.083333
106721,1407958339,2892484043,0.0625
106722,2641856689,2867485894,0.020833
106723,221963057,803779755350827008,0.083333
106724,2800236995,3183768157,0.0625
106725,292236047,785317194695577605,0.041667
106726,17927511,3093907031,0.05
106727,2178473005,441364324,0.25
106728,514982892,618055731,0.020833
106729,798190900744568833,904349491,0.05
106730,1324655137,737760101193256961,0.25
106731,1367543593,754230919633010688,0.0625
106732,2446943442,4704039667,0.041667
106733,12585092,442077506,0.125
106734,4352293774,930084780,0.083333
106735,26235861,794786220005957632,0.05
106736,15755071,1859935914,0.083333
106737,1308083862,484198340,0.25
106738,758491329894748160,805117810343079936,0.083333
106739,13957012,88718119,0.125
106740,2882182229,88718119,0.083333
106741,742664931217178624,892794858,0.083333
106742,15755071,93327360,0.125
106743,24393879,459561926,0.05
106744,328440716,77509795,0.05
106745,34705680,723251650174017536,0.020833
106746,303999844,781442824583741440,0.0625
106747,103435491,904863313,0.125
106748,153283018,4721574708,0.041667
106749,24784028,742664931217178624,0.125
106750,1465205899,937019478,0.05
106751,1171556562,85386747,0.083333
106752,73699803,794792561533538304,0.0625
106753,1555034425,66393,0.03125
106754,2557331785,794786220005957632,0.041667
106755,2972747969,794786220005957632,0.0625
106756,713063391900729344,781442824583741440,0.022727
106757,25677623,4319786381,0.0625
106758,441214858,9002382,0.125
106759,1180622503,909562165,0.022727
106760,3249313867,794786220005957632,0.05
106761,2539037971,712976695,0.0625
106762,207046341,313775431,0.125
106763,451819108,708458185494040576,0.035714
106764,713063391900729344,723251650174017536,0.014706
106765,241583780,594937448,0.125
106766,449600949,4776169636,0.027778
106767,246151786,42307792,0.083333
106768,1324655137,738509183952113664,0.125
106769,1389790676,904349491,0.0625
106770,241640955,2892368815,0.25
106771,1389790676,36200895,0.05
106772,2694972208,393684881,0.05
106773,269921869,737760101193256961,0.125
106774,102635510,298452157,0.083333
106775,26686224,981763526,0.083333
106776,2343872651,302226644,0.0625
106777,2349351162,715681775717060608,0.083333
106778,269921869,796408798932041728,0.125
106779,393684881,995443722,0.083333
106780,198238726,4865253027,0.022727
106781,28838168,796408798932041728,0.125
106782,720309635853365249,805905864,0.125
106783,121172530,2607354599,0.05
106784,167034819,40227122,0.0625
106785,18707435,713063391900729344,0.03125
106786,3400547517,390208861,0.041667
106787,44959884,779254002294878208,0.125
106788,17309168,723251650174017536,0.025
106789,3389604502,904863313,0.125
106790,190878483,74265783,0.019231
106792,3404728337,4289485636,0.041667
106793,564852155,62074058,0.0625
106794,1148894288,892794858,0.083333
106795,1577422609,2494139340,0.0625
106796,17720161,4289485636,0.083333
106797,304517257,74265783,0.125
106798,3050068869,4571814261,0.125
106799,436846029,713063391900729344,0.027778
106800,771906755236401152,799067897876254720,0.033333
106801,2203408382,3404611078,0.0625
106802,737760101193256961,803015757873483776,0.0625
106803,164833055,3400547517,0.25
106804,137165451,17927511,0.03125
106805,222566126,792803253406822400,0.025
106806,246151786,318023873,0.0625
106807,179912146,390208861,0.035714
106808,2204132642,2459835385,0.035714
106809,142602124,2871029992,0.05
106810,2788398650,771906755236401152,0.016667
106811,736905000593575936,756830758132649984,0.125
106812,1011339350,13957012,0.0625
106813,118165489,703700133742034946,0.125
106814,318023873,713063391900729344,0.027778
106815,1555034425,4496549793,0.015625
106816,3404728337,824450408,0.041667
106817,287260619,329166379,0.25
106818,22803981,937019478,0.05
106819,3222937730,45838753,0.025
106820,747143836837814276,797794080180895744,0.041667
106821,802155761279311872,900259286,0.125
106822,2415710580,249885589,0.025
106823,1032058076,217554486,0.125
106824,2292314736,712976695,0.0625
106825,17511258,291846447,0.03125
106826,190878483,705814755869470720,0.016667
106827,24393879,4721574708,0.05
106828,2240033851,4834537559,0.05
106829,228463271,3400547517,0.25
106830,66212407,715135364600606720,0.083333
106831,40278588,790575106124898304,0.019231
106832,18290737,333235689,0.0625
106833,3389604502,459561926,0.125
106834,715681775717060608,771483365937676291,0.05
106835,105841462,2864142413,0.083333
106836,3235220435,85386747,0.125
106837,745319037677211652,88104782,0.125
106838,15755071,16561729,0.0625
106839,115110145,745319037677211652,0.125
106840,122448174,1413793885,0.041667
106841,1658846071,4350985586,0.083333
106842,756830758132649984,803772858560352256,0.022727
106843,228463271,2494139340,0.083333
106844,3404728337,66212407,0.041667
106845,3300307786,9002382,0.041667
106846,2349351162,9002382,0.083333
106847,1011339350,738509183952113664,0.05
106848,2641856689,746236470684311552,0.019231
106849,24393879,627865229,0.035714
106850,152191413,17720161,0.0625
106851,4830951183,798272956401119237,0.25
106852,2730391538,4842807674,0.083333
106853,117060803,2343872651,0.25
106854,3305171909,791406684807827456,0.125
106855,241583780,384005220,0.0625
106856,2864142413,937019478,0.041667
106857,2446943442,802962751865884672,0.05
106858,287260619,4704039667,0.125
106859,142602124,780646765829562369,0.014706
106861,140566783,1859935914,0.083333
106862,2204132642,2315874241,0.041667
106863,419081441,61176427,0.025
106864,1367543593,4350985586,0.083333
106865,3081581745,4831284916,0.0625
106866,26071765,771539199329652736,0.035714
106867,2534559344,2848705919,0.035714
106868,2973660171,4874528374,0.041667
106869,1471100606,763703020198690816,0.0625
106870,4352293774,576427870,0.05
106871,2641856689,900259286,0.125
106872,546239230,892794858,0.0625
106873,2792672981,93327360,0.083333
106874,1145664181,117060803,0.25
106875,1555034425,2211027127,0.020833
106876,17927511,3404728337,0.03125
106877,2712335673,775136513751326721,0.035714
106878,471330976,788748702483611648,0.025
106879,715135364600606720,900259286,0.125
106880,483415153,802950771788681216,0.05
106881,117804245,15755071,0.125
106882,433360123,788748702483611648,0.05
106883,1837417136,3843064953,0.016667
106884,2831617950,2853872685,0.041667
106885,797794080180895744,798875398431973376,0.0625
106886,353389910,780646765829562369,0.015625
106887,21091983,73699803,0.125
106888,4496549793,798272956401119237,0.027778
106889,766033496917864448,981763526,0.013158
106890,2278717689,318023873,0.125
106891,746236470684311552,780646765829562369,0.020833
106892,449600949,748061061300035584,0.035714
106893,2230135597,2800236995,0.083333
106894,1180622503,4888653922,0.071429
106895,34705680,3798312976,0.05
106896,2539037971,2560206498,0.019231
106897,18707435,257134732,0.019231
106898,113018311,781442824583741440,0.05
106899,16548855,25377285,0.035714
106900,241583780,3413198241,0.125
106901,322879013,527949804,0.020833
106902,153283018,3050068869,0.05
106903,2461112153,42138102,0.05
