id,source,target,weight
2906,1413793885,800517089211469824,0.25
2907,4677007640,471330976,0.125
2908,2292314736,756830758132649984,0.25
2909,23954327,812863092,0.25
2910,1173756973,3081581745,1
2911,754230919633010688,784415888548265984,0.2
2912,167034819,333235689,0.5
2913,1327639712,771906755236401152,0.052632
2914,1658846071,4425296357,0.25
2915,200090056,2863716447,0.1
2916,1327639712,200090056,0.1
2917,247304584,3326010927,0.333333
2918,751034069824176128,803009555785482240,0.090909
2919,1338726187,741135072921845765,0.083333
2920,2955544497,757364653014016000,0.2
2921,1014042056,3331551052,0.125
2922,1148894288,134552828,0.25
2923,723251650174017536,946620907,0.1
2924,1374528007,257134732,0.071429
2925,1011339350,3389604502,0.25
2926,2777610968,792134143920386048,0.2
2927,792134143920386048,802962751865884672,0.25
2928,185622716,21081053,1
2929,19669334,431089161,0.2
2930,2788001111,419081441,0.333333
2931,185506203,449600949,0.111111
2932,2461112153,909562165,0.166667
2933,30632043,3376927462,0.25
2934,3081581745,4677007640,0.5
2935,352280876,353389910,0.25
2936,9002382,904349491,0.333333
2937,1263752238,2973660171,0.125
2938,17927511,4865253027,0.125
2939,4721574708,746236470684311552,0.076923
2940,115777637,4874528374,1
2941,2393275579,4319786381,0.333333
2942,118027407,521142615,0.5
2943,2883583489,546239230,0.333333
2944,17720161,88104782,0.5
2945,250704226,4521330855,0.125
2946,4899231777,724415478056124416,0.25
2947,2283464072,313775431,0.025
2948,26071765,2856154741,0.333333
2949,108573123,95502178,0.5
2950,4571814261,780646765829562369,0.066667
2951,3389604502,62211890,1
2952,3644832255,4834537559,0.2
2953,874859443,95220220,0.333333
2954,117060803,353982259,0.333333
2955,167419922,723251650174017536,0.181818
2956,715135364600606720,801240798683664384,0.111111
2957,618055731,798875398431973376,0.076923
2958,271883403,325053871,0.5
2959,28611453,514982892,0.333333
2960,241583780,2856154741,1
2961,1327639712,780252826299666432,0.125
2962,4352293774,4831284916,0.166667
2963,2539037971,4319786381,0.2
2964,15755071,17927511,0.2
2965,28611453,3260163199,0.125
2966,433360123,745319037677211652,0.333333
2967,735491152464470017,786985567,0.166667
2968,259383450,715681775717060608,0.333333
2969,1471100606,2853872685,0.166667
2970,28838168,713063391900729344,0.111111
2971,1263752238,24393879,0.166667
2972,19669334,2428776326,0.142857
2973,140566783,798272956401119237,0.5
2974,2800236995,40625668,1
2975,15502903,2730391538,0.2
2976,2892484043,36638704,0.2
2977,26235861,3222937730,0.111111
2978,25377285,791406684807827456,0.25
2979,74265783,900259286,1
2980,1040408522,575925999,0.066667
2981,1471100606,95220220,0.333333
2982,27238516,441214858,0.25
2983,29049770,632873556,0.2
2984,40278588,937019478,0.1
2985,4097161,54077506,0.5
2986,44959884,710599403,1
2987,11886822,775541978691997696,0.076923
2988,4269534859,632873556,0.125
2989,17927511,4269534859,0.125
2990,33178426,441214858,0.2
2991,4269534859,803772858560352256,0.071429
2992,280243372,785317194695577605,0.133333
2993,459561926,874859443,0.333333
2994,2788398650,456874126,0.2
2995,33178426,498840555,0.25
2996,1265666203,2928019319,0.333333
2997,2902080735,4097161,0.25
2998,445908382,90507896,0.25
2999,4830951183,745319037677211652,0.5
3000,2204132642,280243372,0.133333
3001,302226644,946620907,0.25
