id,source,target,weight
1,134552828,746736462050267136,0.5
2,2463270592,2863716447,0.25
3,2863716447,723261255570608128,0.75
4,1969420729,1977140114,1
5,102397536,610955831,1
6,1896595753,4831284916,0.25
7,45838753,541328418,1
8,1973545422,1977061699,1
9,712976695,785317194695577605,0.333333
10,1032058076,1171556562,0.25
11,1969634864,1977061699,1
12,3331551052,904349491,1
13,294825539,369611457,0.5
14,15755071,774686030406365184,0.6
15,720875149,78583942,1
16,715681775717060608,738509183952113664,1
17,1974125191,1975455086,1
18,3305171909,88718119,0.5
19,11886822,992148966,0.333333
20,48670786,67548991,1
21,1265666203,328440716,1
22,1974188150,3037298239,1
23,108146158,61176427,1
24,207046341,937019478,0.5
25,1973545422,618839438,1
26,2496377724,627865229,0.25
27,287067120,773798108,0.333333
28,155223088,720875149,1
29,1970627820,3037298239,1
30,1978022473,3043507956,1
31,18707435,930084780,1
32,3413198241,75392146,0.2
33,1969368720,1969634864,1
34,1040408522,1047497299,1
35,874859443,95220220,0.125
36,2831617950,756830758132649984,1
37,15755071,4861278086,0.75
38,2463270592,61176427,1
39,3404728337,742826933075877889,0.25
40,145856687,713026548014694400,1
41,1977910574,3052032968,1
42,365819232,713026548014694400,1
43,1975455086,3052032968,1
44,1977828739,3037298239,1
45,365819232,74265783,0.333333
46,36783236,98764683,0.75
47,1974125191,3043507956,1
48,31288110,445861289,0.25
49,75392146,755547494369660928,1
50,122448174,4776169636,1
51,4547154629,618839438,1
52,325053871,741575693646102528,1
53,352280876,904349491,1
54,185506203,393654944,1
55,15502903,618055731,0.142857
56,1180622503,122448174,0.5
57,2319339266,67548991,0.166667
58,1171556562,4654741997,0.25
59,242157832,78583942,1
60,1171556562,313775431,0.2
61,3340908196,618055731,0.222222
62,253677176,3389604502,0.5
63,3413198241,98764683,0.2
64,4264113897,4776169636,1
65,461803364,618587448,1
66,242157832,245573252,1
67,1969769202,1974868602,1
68,2788001111,294825539,0.5
69,1160808384,766735508865032192,0.090909
70,1970627820,3052032968,1
71,1669932314,759146049760100352,1
72,253677176,45608857,0.2
73,303709614,309004477,1
74,245385426,4419316115,1
75,1977910574,4547154629,1
76,4776169636,618055731,0.142857
77,384005220,756830758132649984,0.333333
78,155900566,2928019319,1
79,1969769202,1974125191,1
80,2928019319,746298368461275136,1
81,618055731,937019478,0.142857
82,222566126,786374824948105216,0.333333
83,1973545422,1975455086,1
84,2607354599,93020729,1
85,45608857,824450408,0.2
86,1973545422,1977140114,1
87,145856687,757364653014016000,0.5
88,3380406579,4654741997,0.25
89,237994971,461803364,1
90,3043507956,3052032968,1
91,2883583489,741575693646102528,1
92,2282325169,2411128484,1
93,4531076896,66856037,0.5
94,102397536,1669932314,1
95,302174491,736750781093707776,0.333333
96,29049770,3305171909,0.5
97,3075632478,824450408,0.25
98,723261255570608128,75392146,1
99,3235220435,705814755869470720,0.5
100,185622716,2892368815,1
101,15755071,733803430007955456,0.75
102,2853872685,937019478,1
103,26686224,28615971,1
104,1975427846,1977828739,1
105,2411128484,920798731,1
106,15502903,442077506,1
107,1974830538,1974981223,1
108,2488878284,88893451,1
109,250704226,2853872685,1
110,1969712454,1974830538,1
111,785317194695577605,98206010,0.5
112,242157832,242171965,1
113,17753712,757364653014016000,0.333333
114,2691309440,48670786,1
115,2853872685,723251650174017536,0.25
116,594937448,703700133742034946,1
117,1057363958,18727629,1
118,4861278086,733803430007955456,1
119,3340908196,937019478,0.25
120,4776169636,723251650174017536,0.25
121,720309635853365249,758491329894748160,1
122,185622716,618587448,1
123,2493287096,592185078,1
124,75331878,797794080180895744,0.125
125,613796565,80965639,1
126,2415685429,45838753,1
127,1970627820,1977828739,1
128,325053871,772591272993361920,1
129,1969634864,1978022473,1
130,1974868602,4547154629,1
131,384005220,861445200,0.333333
132,1669932314,780646765829562369,0.142857
133,2863716447,61176427,0.25
134,255988147,3340908196,0.25
135,3075632478,786374824948105216,0.5
136,767862828,769208504,0.142857
137,1978022473,3037298239,1
138,2863716447,98764683,0.75
139,1032058076,3380406579,0.25
140,1969712454,1971211453,1
141,2863716447,713026548014694400,0.75
142,1970627820,1975427846,1
143,1975395252,4547154629,1
144,397467224,884311340,1
145,31288110,713026548014694400,0.25
146,122448174,2848705919,1
147,618055731,723251650174017536,0.1
148,1255475023,75392146,1
149,1977169441,3037298239,1
150,155223088,933182024,1
151,2506040580,3389604502,0.333333
152,11886822,16548855,0.5
153,42624414,704506110665990144,1
154,2446943442,4776169636,1
155,36783236,723261255570608128,0.75
156,1975395252,1977061699,1
157,780655483002630144,884311340,1
158,309004477,4654741997,0.333333
159,442077506,723251650174017536,0.25
160,1171556562,17309168,0.166667
161,2997250788,4861278086,0.166667
162,104572917,295851843,1
163,1900286719,1975427846,1
164,2955544497,3404728337,0.333333
165,1558645760,93327360,0.5
166,145856687,521754789,0.333333
167,17309168,303709614,1
168,120100776,874859443,0.111111
169,1969420729,1975427846,1
170,1969368720,1977169441,1
171,222566126,45608857,0.333333
172,313775431,95502178,0.25
173,712405808789757953,741575693646102528,1
174,723261255570608128,797176328,0.25
175,390208861,742664931217178624,0.2
176,1407958339,4559222536,0.333333
177,18067164,2493287096,1
178,242157832,88893451,1
179,1971211453,4547154629,1
180,3043507956,4547154629,1
181,1969712454,1969769202,1
182,610955831,759146049760100352,1
183,1549759548,15755071,0.75
184,1040408522,352280876,1
185,1173756973,2777610968,1
186,1173756973,205897486,0.5
187,1173756973,463422854,1
188,44959884,742664931217178624,0.5
189,1535438408,3411044242,1
190,4861278086,521754789,0.333333
191,1974830538,1977910574,1
192,18067164,627865229,0.5
193,2856154741,287260619,1
194,292236047,904349491,1
195,461957191,62240352,0.5
196,245573252,88893451,1
197,805905864,80965639,1
198,1969712454,1975427846,1
199,2997250788,365819232,0.166667
200,15502903,3340908196,0.25
201,713026548014694400,797176328,0.25
202,1180622503,723251650174017536,0.2
203,1974981223,3037298239,1
204,365819232,75392146,1
205,1969712454,1975455086,1
206,733803430007955456,797176328,0.25
207,17309168,4654741997,0.333333
208,1338726187,2864142413,1
209,1900286719,1970627820,1
210,185506203,27741488,0.5
211,1971211453,1977140114,1
212,1558645760,29049770,0.333333
213,3377478999,98206010,1
214,122025735,4776169636,1
215,1973545422,1978022473,1
216,1389790676,153283018,0.333333
217,265245636,28615971,1
