id,source,target,weight
1,122448174,250704226,1
2,2463270592,2863716447,0.5
3,1255475023,145856687,1
4,2863716447,723261255570608128,0.5
5,15502903,291846447,1
6,1969420729,1977140114,1
7,541328418,776635543614582784,1
8,1974188150,1977828739,1
9,316123855,66393,1
10,45838753,541328418,1
11,1535438408,456874126,1
12,1973545422,1977061699,1
13,15755071,2863716447,0.333333
14,1969634864,1977061699,1
15,25377285,34705680,1
16,2864142413,3688970849,1
17,1049978412,1347471457,0.5
18,3331551052,904349491,1
19,713026548014694400,733803430007955456,1
20,712405808789757953,779254002294878208,1
21,15755071,774686030406365184,0.333333
22,720875149,78583942,1
23,298452157,78583942,1
24,715681775717060608,738509183952113664,1
25,1974125191,1975455086,1
26,2749640440,701164616093712387,1
27,48670786,67548991,1
28,1265666203,328440716,1
29,1974188150,3037298239,1
30,134552828,390208861,0.166667
31,291846447,4776169636,1
32,1973545422,618839438,1
33,287067120,773798108,0.333333
34,1558645760,780252826299666432,0.5
35,155223088,720875149,1
36,1970627820,3037298239,1
37,1978022473,3043507956,1
38,1974125191,1977140114,1
39,15755071,445861289,0.5
40,163001527,96601448,0.333333
41,1969368720,1969634864,1
42,15502903,2446943442,1
43,1974868602,1977828739,1
44,456874126,738509183952113664,1
45,1040408522,1047497299,1
46,1973545422,1974830538,1
47,15755071,4861278086,0.5
48,40227122,98764683,0.5
49,2463270592,61176427,1
50,3404728337,742826933075877889,0.25
51,36783236,40227122,0.333333
52,51073819,67548991,1
53,1255475023,2863716447,0.5
54,145856687,713026548014694400,1
55,766735508865032192,85080476,0.125
56,1977910574,3052032968,1
57,365819232,713026548014694400,1
58,1975455086,3052032968,1
59,245943898,302174491,0.333333
60,1977828739,3037298239,1
61,36783236,98764683,0.5
62,1974125191,3043507956,1
63,75392146,755547494369660928,1
64,28615971,704506110665990144,1
65,1974830538,1977061699,1
66,122448174,4776169636,1
67,4547154629,618839438,1
68,325053871,741575693646102528,1
69,352280876,904349491,1
70,805117810343079936,884311340,1
71,1180622503,937019478,0.5
72,185506203,393654944,1
73,701846710381891584,757364653014016000,1
74,2211027127,736750781093707776,0.333333
75,1180622503,122448174,0.5
76,242157832,78583942,1
77,1969420729,1974868602,1
78,1973545422,3043507956,1
79,16561729,3302596910,1
80,253677176,3389604502,0.5
81,461803364,618587448,1
82,242157832,245573252,1
83,1973545422,1977169441,1
84,1104128448,18018468,1
85,2853872685,4776169636,1
86,1969769202,1974868602,1
87,1970627820,3052032968,1
88,1180622503,122025735,0.5
89,1669932314,759146049760100352,1
90,4559222536,742664931217178624,0.333333
91,303709614,309004477,1
92,78583942,933182024,1
93,155223088,47080825,1
94,245385426,4419316115,1
95,1977910574,4547154629,1
96,242171965,245573252,1
97,365819232,98764683,1
