id,source,target,weight
26005,1040408522,448250130,1
26006,122448174,250704226,1
26007,1969712454,618839438,1
26008,250704226,2848705919,1
26009,748061061300035584,787044470613282816,1
26010,1974981223,1975395252,1
26011,15502903,291846447,1
26012,1969420729,1977140114,1
26013,1974188150,1977828739,1
26014,1974125191,1974868602,1
26015,1975395252,3037298239,1
26016,1973545422,1977061699,1
26017,1975395252,1977140114,1
26018,268963141,326986654,1
26019,1969634864,1977061699,1
26020,3331551052,904349491,1
26021,1977828739,3043507956,1
26022,1969420729,1974125191,1
26023,1974125191,1975455086,1
26024,1970627820,1974188150,1
26025,1969420729,3037298239,1
26026,1974188150,3037298239,1
26027,4874129992,757364653014016000,1
26028,291846447,4776169636,1
26029,1973545422,618839438,1
26030,1969368720,1974188150,1
26031,1970627820,1971211453,1
26032,1970627820,3037298239,1
26033,1969634864,3043507956,1
26034,1978022473,3043507956,1
26035,1973545422,1975395252,1
26036,1974125191,1977140114,1
26037,1974868602,1975455086,1
26038,1969368720,1975455086,1
26039,1900286719,1975395252,1
26040,1969368720,1969634864,1
26041,15502903,2446943442,1
26042,1974868602,1977828739,1
26043,2788398650,575925999,0.5
26044,1040408522,1047497299,1
26045,17309168,95502178,1
26046,1973545422,1974830538,1
26047,1900286719,1969634864,1
26048,3387188439,787002854338854917,1
26049,1977061699,1977140114,1
26050,3404728337,742826933075877889,0.5
26051,1977910574,3052032968,1
26052,1975455086,3052032968,1
26053,1977828739,3037298239,1
26054,1969634864,618839438,1
26055,1974125191,3043507956,1
26056,1900286719,3037298239,1
26057,1974830538,1977061699,1
26058,122448174,4776169636,1
26059,4547154629,618839438,1
26060,352280876,904349491,1
26061,1180622503,937019478,1
26062,1974125191,1978022473,1
26063,1413793885,419081441,0.5
26064,1975427846,1977061699,1
26065,1969769202,1977828739,1
26066,1180622503,122448174,1
26067,1969368720,1978022473,1
26068,1969634864,1977828739,1
26069,1970627820,4547154629,1
26070,17720161,26235861,1
26071,1969420729,1974981223,1
26072,1969420729,1974868602,1
26073,1973545422,3043507956,1
26074,309004477,95502178,1
26075,122448174,291846447,1
26076,3254856364,4419316115,1
26077,1969634864,1973545422,1
26078,461803364,618587448,1
26079,245385426,461803364,1
26080,1969634864,1970627820,1
26081,1973545422,1977169441,1
26082,2853872685,4776169636,1
26083,119161370,763703020198690816,1
26084,1969769202,1974868602,1
26085,224105222,723251650174017536,0.5
26086,1971211453,1978022473,1
26087,1970627820,3052032968,1
26088,326986654,583162248,1
26089,1974981223,618839438,1
26090,19505072,2777610968,1
26091,303709614,309004477,1
26092,117060803,461803364,1
26093,157946397,200925880,1
26094,245385426,4419316115,1
26095,1977910574,4547154629,1
26096,1975395252,1977910574,1
26097,1970627820,1974981223,1
26098,1974830538,1975455086,1
26099,1969769202,1974125191,1
26100,1974868602,1977061699,1
26101,3037298239,3043507956,1
26102,65632975,787002854338854917,1
26103,384005220,712976695,0.5
26104,1973545422,1975455086,1
26105,15502903,250704226,1
26106,1973545422,1977140114,1
26107,237994971,245385426,1
26108,237994971,3254856364,1
26109,119161370,419081441,1
26110,1969769202,1973545422,1
