id,modularity_class
1413793885,1
800517089211469824,1
4677007640,1
471330976,1
2292314736,1
756830758132649984,1
23954327,1
812863092,1
1173756973,1
3081581745,1
754230919633010688,1
784415888548265984,1
167034819,1
333235689,1
1327639712,1
771906755236401152,1
1658846071,1
4425296357,1
200090056,1
2863716447,0
247304584,4
3326010927,4
751034069824176128,1
803009555785482240,1
1338726187,5
741135072921845765,5
2955544497,0
757364653014016000,0
1014042056,1
3331551052,1
1148894288,5
134552828,5
723251650174017536,4
946620907,5
1374528007,1
257134732,1
1011339350,1
3389604502,1
2777610968,1
792134143920386048,1
802962751865884672,1
185622716,5
21081053,5
19669334,5
431089161,1
2788001111,1
419081441,1
185506203,3
449600949,1
2461112153,1
909562165,1
30632043,1
3376927462,1
352280876,1
353389910,1
9002382,1
904349491,1
1263752238,5
2973660171,5
17927511,1
4865253027,1
4721574708,1
746236470684311552,1
115777637,5
4874528374,5
2393275579,1
4319786381,1
118027407,4
521142615,4
2883583489,5
546239230,5
17720161,1
88104782,1
250704226,5
4521330855,1
4899231777,1
724415478056124416,1
2283464072,5
313775431,5
26071765,1
2856154741,1
108573123,5
95502178,5
4571814261,1
780646765829562369,1
62211890,1
3644832255,1
4834537559,5
117060803,5
353982259,5
167419922,4
715135364600606720,1
801240798683664384,1
618055731,5
798875398431973376,1
271883403,5
325053871,5
28611453,1
514982892,1
241583780,1
780252826299666432,1
4352293774,1
4831284916,1
2539037971,1
15755071,1
3260163199,1
433360123,1
745319037677211652,1
735491152464470017,5
786985567,5
259383450,1
715681775717060608,1
1471100606,1
2853872685,5
28838168,1
713063391900729344,1
24393879,1
2428776326,1
140566783,1
798272956401119237,1
2800236995,1
40625668,1
15502903,5
2730391538,1
2892484043,5
36638704,5
26235861,1
3222937730,1
25377285,1
791406684807827456,1
74265783,1
900259286,1
1040408522,1
575925999,1
95220220,1
27238516,1
441214858,1
29049770,1
632873556,1
40278588,1
937019478,5
4097161,1
54077506,1
44959884,5
710599403,5
11886822,1
775541978691997696,1
4269534859,1
33178426,1
803772858560352256,1
280243372,1
785317194695577605,1
459561926,1
874859443,1
2788398650,1
456874126,1
498840555,1
1265666203,5
2928019319,5
2902080735,1
445908382,5
90507896,5
4830951183,1
2204132642,1
302226644,5
22803981,1
83578612,1
103435491,1
771483365937676291,1
4289485636,1
19845776,1
4250521660,1
788748702483611648,5
1235761177,1
13957012,1
804740200870055936,1
1589798510,1
291846447,5
16548855,1
152191413,1
2848705919,5
78583942,5
737760101193256961,1
797794080180895744,1
221963057,1
1389790676,1
2712335673,1
451819108,1
747143836837814276,1
43748620,1
795594061084246016,1
3931306817,5
47080825,5
770309357875716096,1
4531076896,1
541328418,3
2992942526,1
742664931217178624,5
16561729,1
775136513751326721,1
500843514,1
527949804,5
61176427,1
2446943442,5
824450408,1
207046341,5
351231296,5
800495996828422144,1
179130402,1
40227122,0
