id,modularity_class
134552828,31
746736462050267136,31
2463270592,3
2863716447,3
723261255570608128,3
1969420729,1
1977140114,1
102397536,45
610955831,45
1896595753,18
4831284916,18
45838753,0
541328418,0
1973545422,1
1977061699,1
712976695,28
785317194695577605,28
1032058076,39
1171556562,39
1969634864,1
3331551052,4
904349491,4
294825539,3
369611457,3
15755071,3
774686030406365184,3
720875149,38
78583942,38
715681775717060608,14
738509183952113664,14
1974125191,1
1975455086,1
3305171909,37
88718119,37
11886822,18
992148966,18
48670786,2
67548991,2
1265666203,22
328440716,22
1974188150,1
3037298239,1
108146158,3
61176427,3
207046341,29
937019478,29
618839438,1
2496377724,33
627865229,33
287067120,7
773798108,7
155223088,38
1970627820,1
1978022473,1
3043507956,1
18707435,37
930084780,37
3413198241,3
75392146,3
1969368720,1
1040408522,4
1047497299,4
874859443,18
95220220,18
2831617950,28
756830758132649984,28
4861278086,3
3404728337,28
742826933075877889,28
145856687,3
713026548014694400,3
1977910574,1
3052032968,1
365819232,3
1977828739,1
74265783,3
36783236,3
98764683,3
31288110,3
445861289,3
755547494369660928,3
122448174,29
4776169636,29
4547154629,1
325053871,12
741575693646102528,12
352280876,4
185506203,17
393654944,17
15502903,29
618055731,29
1180622503,29
2319339266,2
4654741997,39
242157832,38
313775431,39
3340908196,29
253677176,18
3389604502,18
4264113897,29
461803364,6
618587448,6
245573252,38
1969769202,1
1974868602,1
2788001111,3
1160808384,48
766735508865032192,48
1669932314,45
759146049760100352,45
45608857,18
303709614,39
309004477,39
245385426,6
4419316115,6
384005220,28
155900566,34
2928019319,34
746298368461275136,34
222566126,18
786374824948105216,18
2607354599,31
93020729,31
824450408,18
757364653014016000,3
3380406579,39
237994971,6
2883583489,12
2282325169,7
2411128484,7
4531076896,24
66856037,24
302174491,5
736750781093707776,5
29049770,37
3075632478,18
3235220435,22
705814755869470720,22
185622716,6
2892368815,6
733803430007955456,3
2853872685,29
26686224,9
28615971,9
1975427846,1
920798731,7
442077506,29
1974830538,1
1974981223,1
2488878284,38
88893451,38
250704226,29
1969712454,1
98206010,28
242171965,38
17753712,3
2691309440,2
723251650174017536,29
594937448,8
703700133742034946,8
1057363958,31
18727629,31
720309635853365249,2
758491329894748160,2
2493287096,33
592185078,33
75331878,45
797794080180895744,45
613796565,9
80965639,9
2415685429,0
772591272993361920,12
861445200,28
780646765829562369,45
255988147,29
767862828,37
769208504,37
1971211453,1
1975395252,1
397467224,10
884311340,10
2848705919,29
1255475023,3
1977169441,1
933182024,38
2506040580,18
16548855,18
42624414,9
704506110665990144,9
2446943442,29
780655483002630144,10
17309168,39
2997250788,3
104572917,11
295851843,11
1900286719,1
2955544497,28
1558645760,37
93327360,37
521754789,3
120100776,18
95502178,39
712405808789757953,12
797176328,3
390208861,31
742664931217178624,31
1407958339,31
4559222536,31
18067164,33
1549759548,3
1173756973,13
2777610968,13
205897486,13
463422854,13
44959884,31
1535438408,14
3411044242,14
2856154741,15
287260619,15
292236047,4
461957191,16
62240352,16
805905864,9
1338726187,12
2864142413,12
27741488,17
3377478999,28
122025735,29
1389790676,28
153283018,28
265245636,9
3104917149,12
779254002294878208,12
291846447,29
4562200215,9
3718042757,18
16561729,32
34705680,32
351231296,30
776879232106594305,30
2882182229,28
3403356761,18
1049978412,31
762654585660051456,31
179912146,19
19855764,19
247304584,48
2858541770,20
4041329212,20
3843064953,21
739907462,21
1104128448,0
2859241221,0
2694972208,22
237977063,23
32682040,23
137165451,24
4865253027,24
227490287,29
68741628,48
701164616093712387,9
328484372,20
40227122,3
939190178,2
755817136703082500,18
1668265830,28
270921976,25
2902080735,25
1324655137,26
2278717689,26
2749640440,9
87481029,38
18018468,0
4090001897,29
3798312976,28
1854497286,18
2992942526,18
221963057,28
102635510,31
26235861,13
3201162010,31
2859034936,4
632873556,32
2248582168,27
303999844,27
4521330855,18
65632975,28
2165136621,31
317838653,31
580975146,28
780252826299666432,37
3300307786,45
4496549793,45
1289813305,29
2972875817,31
228463271,30
4169033472,18
3063952985,31
108986439,34
1228600868,34
2792672981,32
333565814,9
796782916491612160,18
792803253406822400,33
796145502,14
708458185494040576,45
715135364600606720,45
164833055,39
787002854338854917,28
3825968584,31
274667122,28
118027407,48
424083365,7
2327434344,34
200959708,48
85080476,48
194591543,31
2211027127,5
483415153,5
22071268,35
24784028,35
118165489,36
770309357875716096,36
776635543614582784,0
3688970849,12
224105222,29
713063391900729344,3
2461112153,45
479604138,45
448250130,4
304517257,45
3093907031,45
31122582,37
117804245,37
298452157,38
3387188439,28
218993498,18
719939067136385024,31
746280547,45
3249313867,13
3254856364,6
2892484043,39
995443722,39
1347471457,31
749744611,37
47080825,38
3055864294,18
445908382,40
477191708,40
349632099,28
25377285,32
249885589,56
28611453,56
3081581745,26
353982259,41
892794858,41
163001527,5
409116367,11
1589798510,45
1255387315,62
564852155,62
701846710381891584,3
4888653922,65
95670177,65
3302596910,32
20181975,41
790779761521856514,37
341568813,3
2494139340,42
90507896,42
303076383,40
456874126,14
754817647,6
1658846071,43
259383450,43
3710528536,44
4619070748,44
521142615,5
736905000593575936,18
245943898,5
96601448,5
3050068869,45
322879013,28
745319037677211652,28
805117810343079936,10
19669334,46
788748702483611648,46
4352293774,56
30920319,34
20338242,49
449600949,49
2195634502,47
2945460816,47
1107329186,48
317927128,48
4541933713,10
51073819,2
4219886278,49
316123855,59
66393,59
56722688,50
8366982,50
1352215784,51
283592330,51
99019387,17
754048701400776704,52
803009555785482240,52
775498945330028544,45
1577422609,30
200925880,53
312217465,53
14479164,54
410622988,54
66212407,18
241583780,18
1215948218,55
710599403,55
2743082981,56
1480266476,57
426464556,57
372562995,29
500012385,58
80715538,58
15748239,11
4677007640,23
724415478056124416,59
1964701855,60
459561926,60
498840555,18
21081053,61
39208807,61
1007729353,62
1465205899,63
329166379,63
2957347960,55
1101448555,64
329277011,64
946620907,65
2315874241,66
42138102,66
12585092,67
2343872651,67
1837417136,68
802155761279311872,68
