id,modularity_class
122448174,13
250704226,13
2463270592,6
2863716447,6
1255475023,6
145856687,6
723261255570608128,6
15502903,13
291846447,13
1969420729,2
1977140114,2
541328418,12
776635543614582784,12
1974188150,2
1977828739,2
316123855,0
66393,0
45838753,12
1535438408,1
456874126,1
1973545422,2
1977061699,2
15755071,6
1969634864,2
25377285,9
34705680,9
2864142413,31
3688970849,31
1049978412,17
1347471457,17
3331551052,4
904349491,4
713026548014694400,6
733803430007955456,6
712405808789757953,31
779254002294878208,31
774686030406365184,6
720875149,14
78583942,14
298452157,14
715681775717060608,1
738509183952113664,1
1974125191,2
1975455086,2
2749640440,20
701164616093712387,20
48670786,24
67548991,24
1265666203,3
328440716,3
3037298239,2
134552828,17
390208861,17
4776169636,13
618839438,2
287067120,18
773798108,18
1558645760,55
780252826299666432,55
155223088,14
1970627820,2
1978022473,2
3043507956,2
445861289,6
163001527,15
96601448,15
1969368720,2
2446943442,13
1974868602,2
1040408522,4
1047497299,4
1974830538,2
4861278086,6
40227122,6
98764683,6
61176427,6
3404728337,49
742826933075877889,49
36783236,6
51073819,24
766735508865032192,5
85080476,5
1977910574,2
3052032968,2
365819232,6
245943898,15
302174491,15
75392146,6
755547494369660928,6
28615971,20
704506110665990144,20
4547154629,2
325053871,31
741575693646102528,31
352280876,4
805117810343079936,23
884311340,23
1180622503,13
937019478,13
185506203,7
393654944,7
701846710381891584,8
757364653014016000,8
2211027127,15
736750781093707776,15
242157832,14
16561729,9
3302596910,9
253677176,10
3389604502,10
461803364,11
618587448,11
245573252,14
1977169441,2
1104128448,12
18018468,12
2853872685,13
1969769202,2
122025735,13
1669932314,62
759146049760100352,62
4559222536,63
742664931217178624,63
303709614,44
309004477,44
933182024,14
47080825,14
245385426,11
4419316115,11
242171965,14
1974981223,2
521142615,15
1407958339,17
2327434344,16
30920319,16
384005220,49
712976695,49
2607354599,17
93020729,17
265245636,20
237994971,11
3254856364,11
88893451,14
2883583489,31
1228600868,41
723251650174017536,41
2282325169,18
2411128484,18
102397536,62
1969712454,2
29049770,55
3305171909,55
227490287,41
185622716,11
2892368815,11
26686224,20
1975427846,2
4541933713,23
920798731,18
720309635853365249,24
2488878284,14
2792672981,9
1900286719,2
790779761521856514,55
3387188439,49
17753712,8
1971211453,2
2691309440,24
594937448,19
703700133742034946,19
1057363958,17
18727629,17
772591272993361920,31
758491329894748160,24
80965639,20
2493287096,21
592185078,21
87481029,14
613796565,20
861445200,49
780646765829562369,62
930084780,55
754048701400776704,22
803009555785482240,22
108986439,41
746298368461275136,41
221963057,49
4562200215,20
1975395252,2
397467224,23
2848705919,13
618055731,41
1549759548,6
42624414,20
780655483002630144,23
2955544497,49
93327360,55
17309168,44
939190178,24
292236047,4
805905864,20
1668265830,49
580975146,49
4831284916,25
796782916491612160,25
200925880,26
312217465,26
754817647,11
3411044242,1
14479164,27
410622988,27
3403356761,32
755817136703082500,32
2856154741,28
287260619,28
448250130,4
461957191,29
62240352,29
98206010,49
207046341,41
2831617950,49
153283018,49
3377478999,49
349632099,49
4169033472,32
1338726187,31
341568813,8
2972875817,63
1389790676,30
3798312976,30
3104917149,31
3718042757,32
786374824948105216,32
2882182229,49
68741628,5
762654585660051456,17
247304584,5
2858541770,33
4041329212,33
3843064953,34
739907462,34
2859241221,12
2694972208,3
237977063,35
32682040,35
218993498,32
137165451,36
4865253027,36
328484372,33
270921976,37
2902080735,37
1324655137,38
2278717689,38
749744611,55
1160808384,39
317927128,39
785317194695577605,30
249885589,54
2743082981,54
304517257,47
708458185494040576,47
4090001897,41
155900566,16
102635510,17
1480266476,40
426464556,40
627865229,21
224105222,41
372562995,41
713063391900729344,6
333565814,20
2248582168,42
303999844,42
500012385,43
80715538,43
65632975,49
164833055,44
745319037677211652,49
322879013,49
1289813305,41
2165136621,17
44959884,17
1171556562,45
3380406579,45
26235861,46
3249313867,46
792803253406822400,21
715135364600606720,47
2788001111,53
2997250788,53
27741488,48
99019387,48
66856037,36
787002854338854917,49
705814755869470720,3
274667122,49
118027407,5
241583780,50
736905000593575936,50
424083365,18
31288110,51
797176328,51
200959708,5
4352293774,54
194591543,17
483415153,15
118165489,52
770309357875716096,52
369611457,53
2496377724,21
2777610968,46
3093907031,47
724415478056124416,0
28611453,54
442077506,13
95502178,44
18707435,55
88718119,55
21081053,56
39208807,56
1007729353,57
564852155,57
1465205899,58
329166379,58
2957347960,59
710599403,59
445908382,65
477191708,65
3081581745,38
3050068869,62
353982259,60
892794858,60
104572917,61
409116367,61
1589798510,62
1255387315,57
463422854,46
4888653922,69
95670177,69
18067164,21
3201162010,63
3825968584,63
2494139340,64
90507896,64
303076383,65
1101448555,66
329277011,66
521754789,53
3710528536,67
4619070748,67
120100776,68
992148966,68
946620907,69
4521330855,25
3063952985,70
746736462050267136,70
2315874241,71
42138102,71
12585092,72
2343872651,72
15748239,61
2195634502,73
2945460816,73
20338242,74
4219886278,74
