id,modularity_class
1413793885,1
800517089211469824,1
4677007640,1
471330976,1
2292314736,1
756830758132649984,1
23954327,1
812863092,1
1173756973,1
3081581745,0
754230919633010688,0
784415888548265984,1
167034819,0
333235689,1
1327639712,1
771906755236401152,1
1658846071,1
4425296357,1
200090056,1
2863716447,0
247304584,2
3326010927,2
751034069824176128,1
803009555785482240,1
1338726187,3
741135072921845765,3
1014042056,1
3331551052,1
723251650174017536,2
946620907,3
1374528007,0
257134732,1
1011339350,1
3389604502,1
2777610968,1
792134143920386048,1
802962751865884672,1
185622716,3
21081053,3
19669334,3
431089161,1
2788001111,1
419081441,1
185506203,0
449600949,1
2461112153,1
909562165,0
30632043,1
3376927462,1
352280876,1
353389910,1
9002382,1
904349491,1
1263752238,3
2973660171,0
17927511,1
4865253027,1
4721574708,0
746236470684311552,1
115777637,3
4874528374,3
2393275579,1
4319786381,1
118027407,2
521142615,2
2883583489,3
546239230,3
17720161,1
88104782,1
250704226,3
4521330855,1
4899231777,1
724415478056124416,1
2283464072,3
313775431,3
26071765,0
2856154741,1
108573123,0
95502178,3
4571814261,1
780646765829562369,0
62211890,0
3644832255,1
4834537559,3
117060803,3
353982259,3
167419922,2
715135364600606720,0
801240798683664384,1
618055731,3
798875398431973376,1
271883403,3
325053871,3
28611453,0
514982892,1
241583780,0
780252826299666432,1
4352293774,0
4831284916,1
2539037971,1
15755071,0
3260163199,1
433360123,1
745319037677211652,1
735491152464470017,3
786985567,3
259383450,1
715681775717060608,1
1471100606,0
2853872685,3
24393879,1
2428776326,1
140566783,1
798272956401119237,1
2800236995,1
40625668,1
15502903,3
2730391538,1
2892484043,3
36638704,3
26235861,1
3222937730,0
25377285,0
791406684807827456,1
74265783,1
900259286,1
1040408522,1
575925999,1
95220220,1
27238516,1
441214858,1
29049770,0
632873556,1
40278588,1
937019478,3
4097161,1
54077506,1
11886822,1
775541978691997696,1
4269534859,1
33178426,1
803772858560352256,1
280243372,1
785317194695577605,1
459561926,0
874859443,1
2788398650,1
456874126,1
498840555,1
1265666203,3
2928019319,3
2902080735,1
445908382,0
90507896,3
4830951183,1
2204132642,1
302226644,3
22803981,1
83578612,1
103435491,1
771483365937676291,1
4289485636,1
19845776,1
4250521660,1
788748702483611648,3
1235761177,1
13957012,1
804740200870055936,1
1589798510,1
291846447,3
16548855,1
152191413,1
2848705919,3
78583942,3
737760101193256961,0
797794080180895744,1
221963057,0
1389790676,1
2712335673,1
451819108,1
747143836837814276,1
43748620,1
795594061084246016,1
3931306817,3
47080825,3
770309357875716096,1
4531076896,1
541328418,0
2992942526,1
742664931217178624,3
1148894288,3
134552828,0
28838168,0
713063391900729344,0
44959884,3
710599403,3
16561729,0
775136513751326721,1
500843514,1
527949804,3
61176427,0
2446943442,3
824450408,1
207046341,3
351231296,0
800495996828422144,1
179130402,1
40227122,0
796211419700166657,1
738509183952113664,1
