id,modularity_class
1413793885,2
800517089211469824,2
4677007640,2
471330976,2
2292314736,2
756830758132649984,2
23954327,2
812863092,2
1173756973,2
3081581745,2
754230919633010688,2
784415888548265984,2
167034819,2
333235689,2
1327639712,2
771906755236401152,2
1658846071,2
4425296357,2
200090056,2
2863716447,10
247304584,3
3326010927,3
751034069824176128,2
803009555785482240,2
1338726187,1
741135072921845765,1
2955544497,10
757364653014016000,10
1014042056,2
3331551052,2
1148894288,1
134552828,1
723251650174017536,1
946620907,1
1374528007,2
257134732,1
1011339350,2
3389604502,2
2777610968,2
792134143920386048,2
802962751865884672,2
185622716,1
21081053,1
19669334,1
431089161,2
2788001111,2
419081441,2
185506203,0
449600949,2
2461112153,2
909562165,2
30632043,2
3376927462,2
352280876,2
353389910,2
9002382,2
904349491,2
1263752238,1
2973660171,1
17927511,2
4865253027,2
4721574708,2
746236470684311552,2
115777637,1
4874528374,1
2393275579,2
4319786381,2
118027407,3
521142615,3
2883583489,1
546239230,1
17720161,2
88104782,2
250704226,1
4521330855,2
4899231777,2
724415478056124416,2
2283464072,1
313775431,1
26071765,2
2856154741,2
108573123,1
95502178,1
4571814261,2
780646765829562369,1
62211890,2
3644832255,2
4834537559,1
117060803,1
353982259,1
167419922,3
715135364600606720,2
801240798683664384,2
618055731,1
798875398431973376,2
271883403,1
325053871,1
28611453,2
514982892,2
241583780,2
780252826299666432,2
4352293774,2
4831284916,2
2539037971,2
15755071,2
3260163199,2
433360123,2
745319037677211652,2
735491152464470017,1
786985567,1
259383450,2
715681775717060608,2
1471100606,2
2853872685,1
28838168,2
713063391900729344,2
24393879,2
2428776326,2
140566783,2
798272956401119237,2
2800236995,2
40625668,2
15502903,1
2730391538,2
2892484043,1
36638704,1
26235861,2
3222937730,2
25377285,2
791406684807827456,2
74265783,2
900259286,2
1040408522,2
575925999,2
95220220,2
27238516,2
441214858,2
29049770,2
632873556,2
40278588,2
937019478,1
4097161,2
54077506,2
44959884,1
710599403,1
11886822,2
775541978691997696,2
4269534859,2
33178426,2
803772858560352256,2
280243372,2
785317194695577605,2
459561926,2
874859443,2
2788398650,2
456874126,2
498840555,2
1265666203,1
2928019319,1
2902080735,2
445908382,1
90507896,1
4830951183,2
2204132642,2
302226644,1
22803981,2
83578612,2
103435491,2
771483365937676291,2
4289485636,2
19845776,2
4250521660,2
788748702483611648,1
1235761177,2
13957012,2
804740200870055936,2
1589798510,2
291846447,1
16548855,2
152191413,2
2848705919,1
78583942,1
737760101193256961,2
797794080180895744,2
221963057,2
1389790676,2
2712335673,2
451819108,2
747143836837814276,2
43748620,2
795594061084246016,2
3931306817,1
47080825,1
770309357875716096,2
4531076896,2
541328418,0
2992942526,2
742664931217178624,1
16561729,2
775136513751326721,2
500843514,2
527949804,1
61176427,2
2446943442,1
824450408,2
207046341,1
351231296,1
800495996828422144,2
179130402,2
40227122,10
796211419700166657,2
738509183952113664,2
991855608,2
32682040,2
1555034425,2
728221452927827969,2
73699803,2
1535438408,2
115110145,2
4776169636,1
270921976,2
1215948218,1
719939067136385024,1
153283018,2
484198340,2
65632975,10
798190900744568833,2
265245636,0
3055864294,0
119161370,2
1407958339,1
2641856689,2
2867485894,2
803779755350827008,2
3183768157,2
292236047,2
3093907031,2
2178473005,1
441364324,1
1324655137,2
1367543593,2
4704039667,2
12585092,1
442077506,1
930084780,2
794786220005957632,2
1859935914,2
1308083862,2
758491329894748160,0
805117810343079936,0
88718119,2
2882182229,2
892794858,1
93327360,2
328440716,1
77509795,1
34705680,2
303999844,2
781442824583741440,2
904863313,2
24784028,1
1465205899,2
1171556562,1
85386747,1
794792561533538304,2
66393,2
2557331785,2
2972747969,2
25677623,2
1180622503,1
3249313867,2
712976695,2
708458185494040576,2
594937448,2
246151786,2
42307792,2
241640955,1
2892368815,1
36200895,2
2694972208,1
393684881,1
269921869,2
102635510,1
298452157,1
26686224,0
981763526,0
2343872651,1
2349351162,2
796408798932041728,2
995443722,1
198238726,2
720309635853365249,0
805905864,0
121172530,3
2607354599,3
18707435,2
3400547517,1
390208861,1
779254002294878208,1
17309168,1
190878483,2
3404728337,2
564852155,1
62074058,1
1577422609,1
2494139340,1
304517257,2
3050068869,2
436846029,2
799067897876254720,2
2203408382,2
3404611078,2
803015757873483776,2
164833055,1
137165451,2
222566126,2
792803253406822400,2
318023873,2
179912146,1
2459835385,2
142602124,1
2871029992,1
736905000593575936,2
118165489,2
703700133742034946,2
4496549793,2
287260619,2
329166379,2
45838753,0
802155761279311872,2
2415710580,2
249885589,2
1032058076,1
217554486,1
17511258,2
705814755869470720,1
2240033851,2
228463271,1
66212407,2
790575106124898304,2
18290737,2
105841462,1
2864142413,1
3235220435,1
122448174,1
4350985586,2
3300307786,2
627865229,0
4842807674,2
3305171909,2
384005220,2
2315874241,2
771539199329652736,2
2534559344,1
763703020198690816,2
576427870,2
2792672981,2
1145664181,1
2211027127,3
483415153,2
802950771788681216,2
117804245,2
1837417136,0
3843064953,1
2831617950,2
21091983,2
766033496917864448,2
2278717689,2
748061061300035584,0
2230135597,2
4888653922,1
3798312976,2
2560206498,2
113018311,2
3413198241,2
322879013,2
42138102,2
3075632478,2
19505072,2
790779761521856514,2
779870855836729344,2
1107329186,3
1737574513,3
3344005587,2
302631559,2
31360081,1
2921463862,1
1291100928,2
448250130,2
4619070748,2
345236851,1
295851843,1
1049978412,3
1289813305,3
767862828,2
1932657667,0
3302596910,2
18018468,0
4541933713,0
749727821208117252,2
754048701400776704,2
1101448555,3
2488878284,1
3394005099,2
463422854,2
3221526880,2
3270562015,2
66856037,2
303076383,1
185834011,1
3340908196,1
949728103,2
775498945330028544,2
21253935,2
2411128484,3
519553325,3
1854497286,0
4562200215,0
775446236908310528,2
4264113897,1
19358428,2
102397536,1
4419316115,1
1480266476,1
1055484026,3
68741628,3
749744611,2
253677176,2
27741488,0
3254856364,1
734711686033182720,2
787044470613282816,0
3710528536,2
745649909378990080,2
3213596445,1
720875149,1
315787899,1
2327565992,1
3380406579,1
19769739,2
248387799,2
3513831436,3
1849286274,1
303709614,1
2165136621,1
87481029,1
88893451,1
426464556,1
724398031,1
235954026,2
1160808384,3
237064482,3
424083365,3
455199792,3
736750781093707776,3
20338242,0
22071268,1
372562995,3
2824903451,2
1964701855,2
316123855,2
19141355,1
604589648,2
155223088,1
2972875817,1
91696116,2
20181975,1
2858541770,4
774686030406365184,10
477191708,1
268963141,0
793424481704345604,3
746736462050267136,1
2696578399,1
237994971,1
3825968584,1
766735508865032192,3
869818514,1
757689964482142208,0
939190178,0
2496377724,2
171205760,2
723762751596822528,1
1887375954,2
764111195527847936,2
2691309440,0
397467224,0
338317842,1
2248582168,2
1255387315,1
2837527839,2
2365368334,1
796782916491612160,2
31122582,2
873782834,2
245573252,1
3116178603,1
3411044242,2
59098490,2
1669932314,1
804245634417102848,1
205897486,2
85080476,3
780509014769733633,3
2743082981,2
104154637,3
1886957647,2
794612125704523776,2
1558645760,2
2749640440,0
227490287,1
107036446,1
245385426,1
42624414,0
2997250788,2
75331878,2
393654944,0
613796565,0
4030552332,2
369611457,2
2282325169,3
122025735,1
309004477,1
163001527,3
610955831,1
772591272993361920,1
237977063,2
769208504,2
933182024,1
754817647,1
2463270592,2
1007729353,1
45608857,1
28615971,0
1352215784,1
775465970823524389,2
33890500,1
1619917472,3
2198298228,2
797809580445028353,2
96259462,2
2391345684,2
724050768106500096,2
780159670585593856,2
51846420,0
1047497299,2
326986654,0
4559222536,1
83957063,2
3064931987,2
2316941846,2
2415685429,0
2709636520,1
194591543,1
788055459169177601,1
408917512,3
82066520,3
333565814,0
51073819,0
22460413,1
2523369569,0
1007288292,3
200959708,3
780655483002630144,0
2195634502,0
3688970849,1
255988147,1
43356553,2
1063569758,3
352580673,3
461803364,1
3201162010,1
1721534628,1
63082578,3
3262844619,2
3104917149,1
19653756,2
297608951,3
618587448,1
759146049760100352,1
39208807,1
224105222,3
766044309518946304,0
2911382373,4
242397622,1
25367443,1
920798731,3
730407917350854656,2
743737355262033920,1
2258247484,1
808535611,3
2859241221,0
48670786,0
302174491,3
165071899,3
1104128448,0
802313874301030400,0
741575693646102528,1
325389183,3
287067120,3
585843479,1
3063952985,1
1590920106,1
56722688,3
801486062207934465,0
884311340,0
712405808789757953,1
242171965,1
4219886278,0
95670177,1
283592330,1
701164616093712387,0
3385908647,0
317927128,3
22248695,3
2859034936,3
776635543614582784,0
96601448,3
2745415802,3
80715538,3
3407135421,2
704506110665990144,0
410622988,3
500012385,3
768254947167047680,3
3300685022,1
329277011,3
111310609,3
742826933075877889,10
3191320373,3
787002854338854917,10
521754789,10
242157832,1
80965639,0
93020729,3
219075966,0
739907462,0
2573023238,0
747942001342091265,10
2945460816,0
1347471457,3
583162248,0
1896595753,0
793937395066486784,3
773798108,3
18727629,3
792683640627003393,3
67548991,0
308328105,3
29464369,3
785645287498928128,3
4090001897,3
14479164,3
278124864,3
3086863414,1
3387188439,10
1057363958,3
762654585660051456,3
516664834,3
328484372,4
4041329212,4
708036244681281537,10
31288110,10
2493287096,0
479604138,1
1302283879,10
41104604,0
592185078,0
99019387,0
245943898,3
19855764,3
790071588729204736,4
68451121,5
87973711,5
797176328,10
104572917,6
409116367,6
15748239,6
4874129992,10
1974125191,7
1975455086,7
1974188150,7
3037298239,7
1970627820,7
1978022473,7
3043507956,7
1977140114,7
1973545422,7
1974830538,7
1977910574,7
3052032968,7
1977828739,7
1969420729,7
1969712454,7
618839438,7
1969368720,7
1969634864,7
1977061699,7
1974868602,7
1974981223,7
1975395252,7
1900286719,7
157946397,8
200925880,8
312217465,8
1977169441,7
4547154629,7
1975427846,7
1969769202,7
1971211453,7
18067164,0
4654741997,1
745407743591350272,1
1944440994,9
724477412310847488,9
294825539,2
992148966,12
108146158,2
75392146,10
365819232,10
445861289,10
2319339266,0
98764683,10
155900566,13
746298368461275136,13
786374824948105216,12
145856687,10
98206010,14
723261255570608128,10
4861278086,10
713026548014694400,10
36783236,10
755547494369660928,10
733803430007955456,10
17753712,10
2506040580,2
120100776,12
776879232106594305,1
317838653,1
861445200,2
1255475023,10
1549759548,10
461957191,11
62240352,11
3377478999,14
3718042757,12
3403356761,12
755817136703082500,12
1668265830,14
580975146,14
4169033472,12
796145502,2
108986439,13
2327434344,13
1228600868,13
746280547,2
349632099,14
274667122,14
218993498,12
701846710381891584,10
30920319,13
8366982,3
341568813,10
2957347960,1
