id,modularity_class
134552828,18
746736462050267136,18
2463270592,8
2863716447,8
723261255570608128,8
1969420729,0
1977140114,0
102397536,11
610955831,11
1896595753,45
4831284916,45
45838753,1
541328418,1
1973545422,0
1977061699,0
712976695,7
785317194695577605,7
1032058076,12
1171556562,12
1969634864,0
3331551052,6
904349491,6
294825539,8
369611457,8
15755071,8
774686030406365184,8
720875149,2
78583942,2
715681775717060608,21
738509183952113664,21
1974125191,0
1975455086,0
3305171909,5
88718119,5
11886822,45
992148966,45
48670786,29
67548991,29
1265666203,3
328440716,3
1974188150,0
3037298239,0
108146158,8
61176427,8
207046341,9
937019478,9
618839438,0
2496377724,19
627865229,19
287067120,4
773798108,4
155223088,2
1970627820,0
1978022473,0
3043507956,0
18707435,5
930084780,5
3413198241,8
75392146,8
1969368720,0
1040408522,6
1047497299,6
874859443,45
95220220,45
2831617950,7
756830758132649984,7
4861278086,8
3404728337,7
742826933075877889,7
145856687,8
713026548014694400,8
1977910574,0
3052032968,0
365819232,8
1977828739,0
74265783,8
36783236,8
98764683,8
31288110,8
445861289,8
755547494369660928,8
122448174,9
4776169636,9
4547154629,0
325053871,24
741575693646102528,24
352280876,6
185506203,10
393654944,10
15502903,9
618055731,9
1180622503,9
2319339266,29
4654741997,12
242157832,2
313775431,12
3340908196,9
253677176,45
3389604502,45
4264113897,9
461803364,13
618587448,13
245573252,2
1969769202,0
1974868602,0
2788001111,8
1160808384,49
766735508865032192,49
1669932314,11
759146049760100352,11
45608857,45
303709614,12
309004477,12
245385426,13
4419316115,13
384005220,7
155900566,14
2928019319,14
746298368461275136,14
222566126,45
786374824948105216,45
2607354599,18
93020729,18
824450408,45
757364653014016000,8
3380406579,12
237994971,13
2883583489,24
2282325169,4
2411128484,4
4531076896,15
66856037,15
302174491,16
736750781093707776,16
29049770,5
3075632478,45
3235220435,3
705814755869470720,3
185622716,13
2892368815,13
733803430007955456,8
2853872685,9
26686224,25
28615971,25
1975427846,0
920798731,4
442077506,9
1974830538,0
1974981223,0
2488878284,2
88893451,2
250704226,9
1969712454,0
98206010,7
242171965,2
17753712,8
2691309440,29
723251650174017536,9
594937448,17
703700133742034946,17
1057363958,18
18727629,18
720309635853365249,29
758491329894748160,29
2493287096,19
592185078,19
75331878,45
797794080180895744,45
613796565,25
80965639,25
2415685429,1
772591272993361920,24
861445200,7
780646765829562369,11
255988147,9
767862828,5
769208504,5
1971211453,0
1975395252,0
397467224,20
884311340,20
2848705919,9
1255475023,8
1977169441,0
933182024,2
2506040580,45
16548855,45
42624414,25
704506110665990144,25
2446943442,9
780655483002630144,20
17309168,12
2997250788,8
104572917,58
295851843,58
1900286719,0
2955544497,7
1558645760,5
93327360,5
521754789,8
120100776,45
95502178,12
712405808789757953,24
797176328,8
390208861,32
742664931217178624,32
1407958339,32
4559222536,32
18067164,19
1549759548,8
1173756973,37
2777610968,37
205897486,37
463422854,37
44959884,32
1535438408,21
3411044242,21
2856154741,22
287260619,22
292236047,6
461957191,23
62240352,23
805905864,25
1338726187,24
2864142413,24
27741488,10
3377478999,7
122025735,9
1389790676,7
153283018,7
265245636,25
3104917149,24
779254002294878208,24
291846447,9
4562200215,25
3718042757,45
16561729,41
34705680,41
351231296,34
776879232106594305,34
2882182229,7
3403356761,45
1049978412,18
762654585660051456,18
179912146,26
19855764,26
247304584,49
2858541770,28
4041329212,28
3843064953,27
739907462,27
1104128448,1
2859241221,1
2694972208,3
237977063,59
32682040,59
137165451,15
4865253027,15
227490287,9
68741628,49
701164616093712387,25
328484372,28
40227122,8
939190178,29
755817136703082500,45
1668265830,7
270921976,30
2902080735,30
1324655137,31
2278717689,31
2749640440,25
87481029,2
18018468,1
4090001897,9
3798312976,7
1854497286,45
2992942526,45
221963057,7
