id,modularity_class
122448174,16
250704226,16
2463270592,10
2863716447,10
1255475023,10
145856687,10
723261255570608128,10
15502903,16
291846447,16
1969420729,3
1977140114,3
541328418,1
776635543614582784,1
1974188150,3
1977828739,3
316123855,0
66393,0
45838753,1
1535438408,2
456874126,2
1973545422,3
1977061699,3
15755071,10
1969634864,3
25377285,4
34705680,4
2864142413,5
3688970849,5
1049978412,20
1347471457,20
3331551052,9
904349491,9
713026548014694400,10
733803430007955456,10
712405808789757953,5
779254002294878208,5
774686030406365184,10
720875149,15
78583942,15
298452157,15
715681775717060608,2
738509183952113664,2
1974125191,3
1975455086,3
2749640440,6
701164616093712387,6
48670786,23
67548991,23
1265666203,49
328440716,49
3037298239,3
134552828,20
390208861,20
4776169636,16
618839438,3
287067120,7
773798108,7
1558645760,8
780252826299666432,8
155223088,15
1970627820,3
1978022473,3
3043507956,3
445861289,10
163001527,18
96601448,18
1969368720,3
2446943442,16
1974868602,3
1040408522,9
1047497299,9
1974830538,3
4861278086,10
40227122,10
98764683,10
61176427,10
3404728337,31
742826933075877889,31
36783236,10
51073819,23
766735508865032192,52
85080476,52
1977910574,3
3052032968,3
365819232,10
245943898,18
302174491,18
75392146,10
755547494369660928,10
28615971,6
704506110665990144,6
4547154629,3
325053871,5
741575693646102528,5
352280876,9
805117810343079936,11
884311340,11
1180622503,16
937019478,16
185506203,12
393654944,12
701846710381891584,13
757364653014016000,13
2211027127,18
736750781093707776,18
242157832,15
16561729,4
3302596910,4
253677176,14
3389604502,14
461803364,21
618587448,21
245573252,15
1977169441,3
1104128448,1
18018468,1
2853872685,16
1969769202,3
122025735,16
1669932314,17
759146049760100352,17
4559222536,63
742664931217178624,63
303709614,45
309004477,45
933182024,15
47080825,15
245385426,21
4419316115,21
242171965,15
1974981223,3
521142615,18
1407958339,20
2327434344,19
30920319,19
384005220,31
712976695,31
2607354599,20
93020729,20
265245636,6
237994971,21
3254856364,21
88893451,15
2883583489,5
1228600868,42
723251650174017536,42
2282325169,7
2411128484,7
102397536,17
1969712454,3
29049770,8
3305171909,8
227490287,42
185622716,21
2892368815,21
26686224,6
1975427846,3
4541933713,11
920798731,7
720309635853365249,23
2488878284,15
2792672981,4
1900286719,3
790779761521856514,8
3387188439,31
17753712,13
1971211453,3
2691309440,23
594937448,22
703700133742034946,22
1057363958,20
18727629,20
772591272993361920,5
758491329894748160,23
80965639,6
2493287096,24
592185078,24
87481029,15
613796565,6
861445200,31
780646765829562369,17
930084780,8
754048701400776704,25
803009555785482240,25
108986439,42
746298368461275136,42
221963057,31
4562200215,6
1975395252,3
397467224,11
2848705919,16
618055731,42
1549759548,10
42624414,6
780655483002630144,11
2955544497,31
93327360,8
17309168,45
939190178,23
292236047,9
805905864,6
1668265830,31
580975146,31
4831284916,26
796782916491612160,26
200925880,27
312217465,27
754817647,21
3411044242,2
14479164,28
410622988,28
3403356761,36
755817136703082500,36
2856154741,29
287260619,29
448250130,9
461957191,30
62240352,30
98206010,31
207046341,42
2831617950,31
153283018,31
3377478999,31
349632099,31
4169033472,36
1338726187,5
341568813,13
2972875817,63
1389790676,32
3798312976,32
3104917149,5
3718042757,36
786374824948105216,36
2882182229,31
68741628,52
762654585660051456,20
247304584,52
2858541770,33
4041329212,33
3843064953,34
739907462,34
2859241221,1
2694972208,49
237977063,35
32682040,35
218993498,36
137165451,37
4865253027,37
328484372,33
270921976,38
2902080735,38
1324655137,39
2278717689,39
749744611,8
1160808384,40
317927128,40
785317194695577605,32
249885589,53
2743082981,53
304517257,56
708458185494040576,56
4090001897,42
155900566,19
102635510,20
1480266476,41
426464556,41
627865229,24
224105222,42
372562995,42
713063391900729344,10
333565814,6
2248582168,43
303999844,43
500012385,44
80715538,44
65632975,31
164833055,45
745319037677211652,31
322879013,31
1289813305,42
2165136621,20
44959884,20
1171556562,46
3380406579,46
26235861,47
3249313867,47
792803253406822400,24
715135364600606720,56
2788001111,55
2997250788,55
27741488,48
99019387,48
66856037,37
787002854338854917,31
705814755869470720,49
274667122,31
118027407,52
241583780,50
736905000593575936,50
424083365,7
31288110,51
797176328,51
200959708,52
4352293774,53
194591543,20
483415153,18
118165489,54
770309357875716096,54
369611457,55
2496377724,24
2777610968,47
3093907031,56
724415478056124416,0
28611453,53
442077506,16
95502178,45
18707435,8
88718119,8
21081053,57
39208807,57
1007729353,61
564852155,61
1465205899,58
329166379,58
2957347960,59
710599403,59
445908382,65
477191708,65
3081581745,39
3050068869,17
353982259,60
892794858,60
104572917,72
409116367,72
1589798510,17
1255387315,61
463422854,47
4888653922,62
95670177,62
18067164,24
3201162010,63
3825968584,63
2494139340,64
90507896,64
303076383,65
1101448555,66
329277011,66
521754789,55
3710528536,67
4619070748,67
120100776,68
992148966,68
946620907,62
4521330855,26
3063952985,69
746736462050267136,69
2315874241,70
42138102,70
12585092,71
2343872651,71
15748239,72
2195634502,73
2945460816,73
20338242,74
4219886278,74
